LOWZIP,HIGHZIP,TERMINAL,SERV_IN,SERV_OUT,DAYS_IN,DAYS_OUT
25109,25110,WV001,D,3,3,D
25111,25111,WV001,D,4,4,D
25112,25112,WV001,D,3,3,D
25113,25115,WV001,D,4,4,D
25118,25118,WV001,D,3,3,D
25119,25121,WV001,D,4,4,D
25123,25124,WV001,D,3,3,D
25125,25125,WV001,D,4,4,D
25126,25132,WV001,D,3,3,D
25133,25133,WV001,D,4,4,D
25134,25139,WV001,D,3,3,D
25140,25141,WV001,D,4,4,D
25142,25148,WV001,D,3,3,D
25149,25152,WV001,D,4,4,D
25154,25159,WV001,D,3,3,D
25160,25161,WV001,D,4,4,D
25162,25162,WV001,D,3,3,D
25164,25164,WV001,D,4,4,D
25165,25169,WV001,D,3,3,D
25173,25174,WV001,D,4,4,D
25177,25177,WV001,D,3,3,D
25180,25180,WV001,D,4,4,D
25181,25181,WV001,D,3,3,D
25183,25185,WV001,D,4,4,D
25186,25187,WV001,D,3,3,D
25193,25193,WV001,D,4,4,D
25201,25203,WV001,D,3,3,D
25204,25204,WV001,D,4,4,D
25205,25205,WV001,D,3,3,D
25206,25211,WV001,D,4,4,D
25213,25231,WV001,D,3,3,D
25234,25239,WV001,D,4,4,D
25241,25241,WV001,D,3,3,D
25243,25244,WV001,D,4,4,D
25245,25245,WV001,D,3,3,D
25247,25247,WV001,D,4,4,D
25248,25251,WV001,D,3,3,D
25252,25270,WV001,D,4,4,D
25271,25275,WV001,D,3,3,D
25276,25285,WV001,D,4,4,D
25286,25286,WV001,D,3,3,D
25287,25287,WV001,D,4,4,D
25301,25320,WV001,D,3,3,D
25321,25375,WV001,D,8,8,D
25387,25396,WV001,D,3,3,D
25401,25401,MD001,D,4,4,D
25402,25402,WV002,D,8,8,D
25403,25405,MD001,D,4,4,D
25410,25410,WV002,D,8,8,D
25411,25420,MD001,D,4,4,D
25421,25421,WV002,D,8,8,D
25422,25422,MD001,D,4,4,D
25423,25423,WV002,D,8,8,D
25425,25430,MD001,D,4,4,D
25431,25431,MD001,D,8,8,D
25432,25434,MD001,D,4,4,D
25437,25437,MD001,D,8,8,D
25438,25438,MD001,D,4,4,D
25440,25441,WV002,D,8,8,D
25442,25446,MD001,D,4,4,D
25501,25504,WV001,D,3,3,D
25505,25505,WV001,D,4,4,D
25506,25507,WV001,D,3,3,D
25508,25508,WV001,D,4,4,D
25510,25510,WV001,D,3,3,D
25511,25514,WV001,D,4,4,D
25515,25515,WV001,D,3,3,D
25517,25517,WV001,D,4,4,D
25520,25523,WV001,D,3,3,D
25524,25524,WV001,D,4,4,D
25526,25530,WV001,D,3,3,D
25534,25534,WV001,D,4,4,D
25535,25537,WV001,D,3,3,D
25540,25540,WV001,D,4,4,D
25541,25545,WV001,D,3,3,D
25547,25547,WV001,D,4,4,D
25550,25550,WV001,D,3,3,D
25555,25557,WV001,D,4,4,D
25559,25569,WV001,D,3,3,D
25570,25570,WV001,D,4,4,D
25571,25573,WV001,D,3,3,D
25601,25607,WV001,D,4,4,D
25608,25608,WV002,D,4,4,D
25611,25650,WV001,D,4,4,D
25651,25651,WV002,D,4,4,D
25652,25699,WV001,D,4,4,D
25701,25705,WV001,D,3,3,D
25706,25708,WV001,D,8,8,D
25709,25709,WV001,D,3,3,D
25710,25729,WV001,D,8,8,D
25755,25755,WV001,D,3,3,D
25770,25773,WV001,D,8,8,D
25774,25774,WV001,D,3,3,D
25775,25779,WV001,D,8,8,D
25801,25801,WV001,D,4,4,D
25802,25802,WV001,D,8,8,D
25810,25873,WV001,D,4,4,D
25875,25875,WV001,D,8,8,D
25876,25943,WV001,D,4,4,D
25951,25951,WV002,D,4,4,D
25958,25966,WV001,D,4,4,D
25969,25971,WV002,D,4,4,D
25972,25977,WV001,D,4,4,D
25978,25979,WV002,D,4,4,D
25981,25989,WV001,D,4,4,D
26003,26003,PA004,D,4,4,D
26030,26030,PA004,D,3,3,D
26031,26031,PA004,D,4,4,D
26032,26032,PA004,D,3,3,D
26033,26033,PA004,D,4,4,D
26034,26035,PA004,D,3,3,D
26036,26036,PA004,D,4,4,D
26037,26037,PA004,D,3,3,D
26038,26041,PA004,D,4,4,D
26047,26050,PA004,D,3,3,D
26055,26055,PA004,D,4,4,D
26056,26056,PA004,D,3,3,D
26058,26058,WV002,D,8,8,D
26059,26060,PA004,D,4,4,D
26062,26075,PA004,D,3,3,D
26101,26101,WV001,D,4,4,D
26102,26102,WV001,D,8,8,D
26103,26143,WV001,D,4,4,D
26146,26146,PA004,D,4,4,D
26147,26148,WV001,D,4,4,D
26149,26149,PA004,D,4,4,D
26150,26152,WV001,D,4,4,D
26155,26159,PA004,D,4,4,D
26160,26164,WV001,D,4,4,D
26167,26167,PA004,D,4,4,D
26169,26170,WV001,D,4,4,D
26175,26175,PA004,D,4,4,D
26178,26201,WV001,D,4,4,D
26202,26208,WV002,D,4,4,D
26209,26209,WV002,D,8,8,D
26210,26210,WV001,D,4,4,D
26215,26228,WV002,D,4,4,D
26229,26229,WV001,D,4,4,D
26230,26236,WV002,D,4,4,D
26237,26237,WV002,D,8,8,D
26238,26238,WV001,D,4,4,D
26241,26250,WV001,D,8,8,D
26253,26254,WV002,D,8,8,D
26257,26257,WV001,D,8,8,D
26259,26259,WV002,D,8,8,D
26260,26260,MD001,D,8,8,D
26261,26261,WV002,D,4,4,D
26263,26264,WV002,D,8,8,D
26266,26266,WV002,D,4,4,D
26267,26267,WV001,D,8,8,D
26268,26273,WV002,D,8,8,D
26275,26275,WV001,D,4,4,D
26276,26280,WV002,D,8,8,D
26282,26282,WV002,D,4,4,D
26283,26283,WV002,D,8,8,D
26285,26285,WV001,D,4,4,D
26287,26287,WV002,D,8,8,D
26288,26288,WV002,D,4,4,D
26289,26293,WV002,D,8,8,D
26294,26294,WV002,D,4,4,D
26296,26296,WV002,D,8,8,D
26298,26298,WV002,D,4,4,D
26301,26306,WV001,D,4,4,D
26320,26320,PA004,D,4,4,D
26321,26338,WV001,D,4,4,D
26339,26339,PA004,D,4,4,D
26342,26342,WV001,D,4,4,D
26343,26343,WV002,D,4,4,D
26346,26346,WV001,D,4,4,D
26347,26347,WV002,D,8,8,D
26348,26348,PA004,D,4,4,D
26349,26349,WV002,D,8,8,D
26351,26351,WV001,D,4,4,D
26354,26354,WV002,D,8,8,D
26361,26372,WV001,D,4,4,D
26374,26374,WV002,D,8,8,D
26376,26376,WV002,D,4,4,D
26377,26377,PA004,D,4,4,D
26378,26385,WV001,D,4,4,D
26386,26386,PA004,D,4,4,D
26404,26404,WV001,D,4,4,D
26405,26405,WV002,D,8,8,D
26408,26408,WV001,D,4,4,D
26410,26410,WV002,D,8,8,D
26411,26415,WV001,D,4,4,D
26416,26416,WV002,D,4,4,D
26419,26419,PA004,D,4,4,D
26421,26422,WV001,D,4,4,D
26424,26425,WV002,D,8,8,D
26426,26430,WV001,D,4,4,D
26431,26434,PA004,D,4,4,D
26435,26435,WV002,D,8,8,D
26436,26436,WV001,D,4,4,D
26437,26437,PA004,D,4,4,D
26438,26438,WV001,D,4,4,D
26440,26440,WV002,D,8,8,D
26443,26443,WV001,D,4,4,D
26444,26444,WV002,D,8,8,D
26447,26447,WV001,D,4,4,D
26448,26448,PA004,D,4,4,D
26451,26456,WV001,D,4,4,D
26463,26501,PA004,D,4,4,D
26502,26504,PA004,D,8,8,D
26505,26506,PA004,D,4,4,D
26507,26507,PA004,D,8,8,D
26508,26554,PA004,D,4,4,D
26555,26555,PA004,D,8,8,D
26559,26591,PA004,D,4,4,D
26601,26656,WV001,D,4,4,D
26660,26660,WV002,D,4,4,D
26662,26690,WV001,D,4,4,D
26691,26691,WV002,D,4,4,D
26704,26704,MD001,D,4,4,D
26705,26707,MD001,D,8,8,D
26710,26714,MD001,D,4,4,D
26716,26717,MD001,D,8,8,D
26719,26719,MD001,D,4,4,D
26720,26750,MD001,D,8,8,D
26753,26761,MD001,D,4,4,D
26763,26764,MD001,D,8,8,D
26767,26801,MD001,D,4,4,D
26802,26807,WV001,D,8,8,D
